decimalLatitude,decimalLongitude,UI,Birds,Visitors,Azimut_t,Temperature,Dureza,Wrack,Grain_size,Salinity,slope,Beach_width,Swash,S_total,pH,campaign,month,locality,site,zone
21.390838,-88.9054,0.46,21,5,3,35.733333333333334,110,131.7,0.574085429854342,17.666666666666668,4.9,21.3,0.29999999999999993,3.7,6.9799999999999995,3,Aug,Dzilam,4,Wet
21.5195,-87.68297,0.17,0,5,34,28.533333333333335,216.66666666666666,54.300000000000004,0.470692548870476,42,3.2,32.8,4.970000000000001,4,7.566666666666666,2,Apr,El Cuyo,1,Dry
21.519502,-87.68274,0.17,0,2,34,28.633333333333333,253.33333333333334,44.19999999999999,0.699648442195564,35.666666666666664,2.8,27.1,2.9599999999999995,4.1,7.523333333333333,3,Aug,El Cuyo,1,Dry
21.5195,-87.68297,0.17,0,0,34,,,86.38333333333334,0.624759789026807,36,3.2,25,8.239999999999998,4,,1,Nov,El Cuyo,1,Dry
21.5195,-87.68297,0.17,0,5,34,28.1,173.33333333333334,54.300000000000004,0.351860430806122,42,5.7,32.8,4.970000000000001,4,7.943333333333333,2,Apr,El Cuyo,1,Wet
21.5195,-87.68297,0.17,0,0,34,,,86.38333333333334,0.615979378366276,36,6,25,8.239999999999998,4,,1,Nov,El Cuyo,1,Wet
21.519502,-87.68274,0.17,0,2,34,27.400000000000002,173.33333333333334,44.19999999999999,0.47613759914912496,36,6.6,27.1,2.9599999999999995,4.1,7.63,3,Aug,El Cuyo,1,Wet
21.518416,-87.67939,0.34,0,21,14,29.566666666666666,280,92.4,0.659272017870378,40.666666666666664,3,27.5,4.090000000000001,4.3,7.673333333333333,2,Apr,El Cuyo,2,Dry
21.518463,-87.67934,0.34,1,8,14,30.966666666666665,180,32.1,0.353652575909361,29,3.2,27.9,3.02,3.8,7.453333333333333,3,Aug,El Cuyo,2,Dry
21.518416,-87.67939,0.34,8,3,14,,,179.76666666666665,0.724766267133342,36,2.4,27.5,7.650000000000001,3,,1,Nov,El Cuyo,2,Dry
21.518416,-87.67939,0.34,0,21,14,28.933333333333334,293.3333333333333,92.4,0.492149744952455,41.666666666666664,5.8,27.5,4.090000000000001,4.3,7.83,2,Apr,El Cuyo,2,Wet
21.518416,-87.67939,0.34,8,3,14,,,179.76666666666665,0.599072259114117,36,5.5,27.5,7.650000000000001,3,,1,Nov,El Cuyo,2,Wet
21.518463,-87.67934,0.34,1,8,14,31.8,186.66666666666666,32.1,0.425310041015106,36.666666666666664,5.7,27.9,3.02,3.8,7.6066666666666665,3,Aug,El Cuyo,2,Wet
21.516083,-87.67156,0.4,0,31,17,29.266666666666666,303.3333333333333,83.39999999999999,0.356950654674972,40.333333333333336,3.6,30,4.6899999999999995,3.7,7.556666666666667,2,Apr,El Cuyo,3,Dry
