muestra,PAN,#325,#270,#230,#200,#170,#140,#120,#100,#80,#70,#60,#50,#45,#40,#35,#30,#25,#20,#18,#16,#14,#12,#10,#8,#7,> #6,localidad,muestreo,sitio,zona
Telchac 20-11-4DGran.xle,0.03,0.01,0.01,0.03,0.06,0.12,0.39,1.20,12.92,28.56,6.44,8.36,7.40,6.51,4.41,3.66,2.95,2.48,2.03,1.80,1.25,0.99,0.90,0.93,0.79,0.88,4.89,Telchac,20-11,4,D
Telchac 20-11-4SGran.xle,0.04,0.03,0.04,0.06,0.08,0.16,0.52,1.51,2.99,4.78,6.29,9.04,8.84,9.35,8.39,8.67,6.74,6.34,4.58,3.61,2.92,2.49,1.80,1.50,1.28,1.63,6.32,Telchac,20-11,4,S
Telchac 21-04-1DGran.xle,0.02,0.01,0.02,0.04,0.14,0.42,1.30,3.53,6.23,7.68,8.69,10.31,9.44,9.59,8.46,8.55,7.15,6.20,4.24,3.37,2.10,1.30,0.52,0.32,0.12,0.15,0.10,Telchac,21-04,1,D
Telchac 21-04-1SGran.xle,0.61,0.22,0.13,0.07,0.10,0.32,0.92,2.42,4.16,5.24,6.35,8.56,9.15,10.55,9.92,10.15,7.22,5.85,4.08,2.92,2.65,2.10,1.28,1.03,0.75,1.47,1.78,Telchac,21-04,1,S
Telchac 21-04-2DGran.xle,0.02,0.02,0.02,0.05,0.13,0.35,1.03,2.90,5.79,7.79,9.89,12.18,10.50,9.51,6.62,5.46,4.37,3.47,2.37,1.86,1.77,1.72,1.12,1.16,0.91,1.43,7.56,Telchac,21-04,2,D
Telchac 21-04-2SGran.xle,0.02,0.01,0.01,0.03,0.06,0.18,0.64,2.38,6.22,10.38,13.95,16.77,13.57,10.47,6.86,5.45,3.65,2.55,2.05,1.41,1.08,0.78,0.48,0.27,0.30,0.19,0.24,Telchac,21-04,2,S
Telchac 21-04-3DGran.xle,0.01,0.01,0.02,0.03,0.09,0.27,0.95,3.12,7.13,11.70,15.42,19.19,15.41,11.79,6.43,4.21,2.10,1.17,0.46,0.25,0.15,0.07,0.02,0.00,0.00,0.00,0.00,Telchac,21-04,3,D
Telchac 21-04-3SGran.xle,0.02,0.01,0.02,0.03,0.07,0.21,0.61,1.81,3.74,6.00,8.14,11.43,10.74,10.16,7.40,6.85,5.19,4.37,3.37,2.71,2.56,2.09,1.56,1.64,1.38,1.22,6.67,Telchac,21-04,3,S
Telchac 21-04-4DGran.xle,0.02,0.01,0.02,0.03,0.10,0.33,1.20,3.80,7.77,11.05,13.47,15.43,12.58,10.72,7.38,6.08,3.80,2.42,1.40,0.76,0.75,0.43,0.32,0.09,0.04,0.00,0.00,Telchac,21-04,4,D
Telchac 21-04-4SGran.xle,0.02,0.01,0.03,0.04,0.09,0.17,0.42,1.09,2.16,3.21,4.39,6.36,7.01,8.34,8.13,9.30,8.91,8.57,6.51,4.88,3.72,2.92,1.69,1.52,1.29,1.29,7.93,Telchac,21-04,4,S
Telchac 21-08-1DGran.xle,0.02,0.00,0.02,0.02,0.06,0.22,0.76,2.60,5.69,8.49,11.15,13.98,12.48,11.55,9.02,8.85,5.53,4.10,2.16,1.16,0.65,0.55,0.26,0.24,0.18,0.06,0.20,Telchac,21-08,1,D
Telchac 21-08-1SGran.xle,0.01,0.00,0.01,0.02,0.05,0.18,0.55,1.54,2.94,4.03,5.22,7.11,7.68,9.91,10.19,12.53,10.76,9.31,6.55,4.37,3.50,2.10,0.83,0.37,0.16,0.08,0.00,Telchac,21-08,1,S
Telchac 21-08-2DGran.xle,0.01,0.01,0.01,0.02,0.04,0.12,0.33,1.46,4.12,7.03,10.08,12.56,10.37,9.19,6.36,5.69,4.15,3.58,3.07,2.19,1.92,1.59,1.17,1.18,0.94,0.81,12.00,Telchac,21-08,2,D
Telchac 21-08-2SGran.xle,0.01,0.00,0.02,0.04,0.12,0.34,0.95,2.23,3.58,4.49,5.01,6.65,6.72,8.17,8.68,10.43,8.91,8.55,6.78,5.71,4.83,3.97,2.33,1.15,0.33,0.00,0.00,Telchac,21-08,2,S
Telchac 21-08-3DGran.xle,0.03,0.01,0.03,0.06,0.12,0.35,1.08,3.03,5.81,8.11,10.09,12.76,11.45,10.12,6.99,6.06,4.18,3.30,2.29,2.16,1.54,1.53,1.25,0.98,0.73,0.90,5.04,Telchac,21-08,3,D
Telchac 21-08-3SGran.xle,0.01,0.01,0.02,0.04,0.10,0.24,0.67,1.57,2.67,3.61,4.58,6.36,6.79,8.41,8.26,9.54,8.60,8.30,6.48,5.55,4.54,3.80,2.42,1.77,1.48,1.24,2.94,Telchac,21-08,3,S
Telchac 21-08-4DGran.xle,0.05,0.03,0.05,0.09,0.21,0.49,1.46,3.91,7.08,9.43,10.81,12.50,9.95,8.65,5.79,4.95,3.43,3.10,3.84,1.63,1.52,1.34,1.16,0.94,0.97,0.52,6.10,Telchac,21-08,4,D
Telchac 21-08-4SGran.xle,0.02,0.01,0.01,0.04,0.11,0.32,0.93,2.48,4.47,6.05,7.99,11.55,12.06,13.20,10.62,9.50,6.31,5.03,3.34,2.39,1.63,1.15,0.50,0.20,0.09,0.00,0.00,Telchac,21-08,4,S
